symbol,ex_date,factor
510500.SH,2026-03-02,1.0
510500.SH,2026-03-03,1.0
510500.SH,2026-03-04,1.0
510500.SH,2026-03-05,1.0
510500.SH,2026-03-06,1.0
510500.SH,2026-03-09,1.0
510500.SH,2026-03-10,1.0
510500.SH,2026-03-11,1.0
510500.SH,2026-03-12,1.0
510500.SH,2026-03-13,1.0
510500.SH,2026-03-16,1.0
510500.SH,2026-03-17,1.0
510500.SH,2026-03-18,1.0
510500.SH,2026-03-19,1.0
510500.SH,2026-03-20,1.0
510500.SH,2026-03-23,1.0
510500.SH,2026-03-24,1.0
510500.SH,2026-03-25,1.0
510500.SH,2026-03-26,1.0
510500.SH,2026-03-27,1.0
510500.SH,2026-03-30,1.0
510500.SH,2026-03-31,1.0
510500.SH,2026-04-01,1.0
510500.SH,2026-04-02,1.0
510500.SH,2026-04-03,1.0
510500.SH,2026-04-07,1.0
510500.SH,2026-04-08,1.0
510500.SH,2026-04-09,1.0
510500.SH,2026-04-10,1.0
510500.SH,2026-04-13,1.0
510500.SH,2026-04-14,1.0
510500.SH,2026-04-15,1.0
510500.SH,2026-04-16,1.0
510500.SH,2026-04-17,1.0
510500.SH,2026-04-20,1.0
510500.SH,2026-04-21,1.0
510500.SH,2026-04-22,1.0
510500.SH,2026-04-23,1.0
510500.SH,2026-04-24,1.0
510500.SH,2026-04-27,1.0
510500.SH,2026-04-28,1.0
510500.SH,2026-04-29,1.0
510500.SH,2026-04-30,1.0
510500.SH,2026-05-06,1.0
510500.SH,2026-05-07,1.0
510500.SH,2026-05-08,1.0
510500.SH,2026-05-11,1.0
510500.SH,2026-05-12,1.0
510500.SH,2026-05-13,1.0
510500.SH,2026-05-14,1.0
510500.SH,2026-05-15,1.0
510500.SH,2026-05-18,1.0
510500.SH,2026-05-19,1.0
510500.SH,2026-05-20,1.0
510500.SH,2026-05-21,1.0
510500.SH,2026-05-22,1.0
510500.SH,2026-05-25,1.0
510500.SH,2026-05-26,1.0
510500.SH,2026-05-27,1.0
510500.SH,2026-05-28,1.0
510500.SH,2026-05-29,1.0
510500.SH,2026-06-01,1.0
510500.SH,2026-06-02,1.0
510500.SH,2026-06-03,1.0
510500.SH,2026-06-04,1.0
510500.SH,2026-06-05,1.0
510500.SH,2026-06-08,1.0
510500.SH,2026-06-09,1.0
510500.SH,2026-06-10,1.0
510500.SH,2026-06-11,1.0
510500.SH,2026-06-12,1.0
510500.SH,2026-06-15,1.0
510500.SH,2026-06-16,1.0
510500.SH,2026-06-17,1.0
510500.SH,2026-06-18,1.0
510500.SH,2026-06-22,1.0
510500.SH,2026-06-23,1.0
510500.SH,2026-06-24,1.0
510500.SH,2026-06-25,1.0
