dt,total_value,cash
2025-06-03T15:00:00+08:00,100000.0,100000.0
2025-06-04T15:00:00+08:00,100000.0,100000.0
2025-06-05T15:00:00+08:00,100000.0,100000.0
2025-06-06T15:00:00+08:00,100000.0,100000.0
2025-06-09T15:00:00+08:00,100000.0,100000.0
2025-06-10T15:00:00+08:00,100000.0,100000.0
2025-06-11T15:00:00+08:00,100000.0,100000.0
2025-06-12T15:00:00+08:00,100000.0,100000.0
2025-06-13T15:00:00+08:00,100000.0,100000.0
2025-06-16T15:00:00+08:00,100000.0,100000.0
2025-06-17T15:00:00+08:00,100000.0,100000.0
2025-06-18T15:00:00+08:00,100000.0,100000.0
2025-06-19T15:00:00+08:00,100000.0,100000.0
2025-06-20T15:00:00+08:00,100000.0,100000.0
2025-06-23T15:00:00+08:00,100000.0,100000.0
2025-06-24T15:00:00+08:00,100000.0,100000.0
2025-06-25T15:00:00+08:00,100000.0,100000.0
2025-06-26T15:00:00+08:00,100000.0,100000.0
2025-06-27T15:00:00+08:00,100000.0,100000.0
2025-06-30T15:00:00+08:00,100000.0,100000.0
2025-07-01T15:00:00+08:00,100000.0,100000.0
2025-07-02T15:00:00+08:00,100000.0,100000.0
2025-07-03T15:00:00+08:00,100000.0,100000.0
2025-07-04T15:00:00+08:00,100000.0,100000.0
2025-07-07T15:00:00+08:00,100000.0,100000.0
2025-07-08T15:00:00+08:00,100000.0,100000.0
2025-07-09T15:00:00+08:00,100000.0,100000.0
2025-07-10T15:00:00+08:00,100000.0,100000.0
2025-07-11T15:00:00+08:00,100000.0,100000.0
2025-07-14T15:00:00+08:00,100000.0,100000.0
2025-07-15T15:00:00+08:00,100000.0,100000.0
2025-07-16T15:00:00+08:00,100000.0,100000.0
2025-07-17T15:00:00+08:00,100000.0,100000.0
2025-07-18T15:00:00+08:00,100000.0,100000.0
2025-07-21T15:00:00+08:00,100000.0,100000.0
2025-07-22T15:00:00+08:00,100000.0,100000.0
2025-07-23T15:00:00+08:00,100000.0,100000.0
2025-07-24T15:00:00+08:00,100000.0,100000.0
2025-07-25T15:00:00+08:00,100000.0,100000.0
2025-07-28T15:00:00+08:00,100000.0,100000.0
2025-07-29T15:00:00+08:00,100000.0,100000.0
2025-07-30T15:00:00+08:00,100000.0,100000.0
2025-07-31T15:00:00+08:00,100000.0,100000.0
2025-08-01T15:00:00+08:00,100000.0,100000.0
2025-08-04T15:00:00+08:00,100000.0,100000.0
2025-08-05T15:00:00+08:00,100000.0,100000.0
2025-08-06T15:00:00+08:00,100000.0,100000.0
